Imaginary,,,,Sum,Real,,,,Sum,epsilon e(w),Refractive index n(w),Extension k(w),EELS (L(w)),Reflectivity (R(w)),Transmittance (A(w)),Emx,wavelength,Absorption (alfa(w))
9.578692,0.047537,0.04754,0.078536,0.057871,9.578692,1.089946,1.089799,1.962165,1.38063666666667,1.3818489997049,1.17526287833224,0.024620449206276,0.030306780946789,0.006618926998176,33.7548824801725,33.7245756992257,129.454000608851,0.471663399697127
9.96184,0.240971,0.240861,0.077138,0.186323333333333,9.96184,1.038566,1.038373,2.092979,1.38997266666667,1.40240521912352,1.18160439356626,0.078843365151589,0.094737126192968,0.008224844047282,2.68627223072974,2.59153510453677,124.474996586976,1.57084997740341
10.344987,0.049093,0.049098,0.14434,0.080843666666667,10.344987,1.113186,1.11309,2.46443,1.56356866666667,1.56565726575834,1.25084490094196,0.032315623865831,0.032980148527962,0.012623462143118,21.4481867507865,21.4152066022586,119.864819549797,0.668609417577816
10.728135,0.039957,0.039958,0.787639,0.289184666666667,10.728135,1.2603,1.260178,3.330794,1.950424,1.97174581303248,1.40038741300979,0.103251665924766,0.074382951525808,0.029618081545913,0.60898189036694,0.534598938841132,115.583929546002,2.21539562203157
11.111283,0.056905,0.056906,2.421093,0.844968,11.111283,1.433746,1.433623,1.989372,1.61891366666667,1.82615781934205,1.31245409177021,0.32190383088384,0.25337493340863,0.036919317376678,7.02216245583084E-06,-0.253367911246174,111.598273574708,7.15352912746896
11.49443,0.123002,0.123036,2.133134,0.793057333333333,11.49443,1.736518,1.736434,0.595597,1.356183,1.57104177647915,1.20979849075769,0.327764226601344,0.321313607271124,0.030345773819269,2.91792470913765E-06,-0.321310689346415,107.878337594818,7.53492591834658
11.877578,0.847453,0.848064,1.288538,0.994685,11.877578,2.418045,2.417577,1.163379,1.999667,2.23339794038456,1.45483073592507,0.341855920224121,0.199412944453543,0.052699550307076,7.57110528426334E-07,-0.199412187343015,104.398388290946,8.12084071444755
12.260726,2.004781,2.005036,1.632598,1.880805,12.260726,0.235174,0.233943,1.089076,0.519397666666667,1.95120511073638,1.1114411314602,0.846110939555126,0.494012480617204,0.140763538614395,1.78702738991653E-19,-0.494012480617204,101.13593599596,20.7478687909759
12.643873,0.434483,0.432558,0.596619,0.487886666666667,12.643873,1.024862,1.022795,1.258402,1.10201966666667,1.20518909106879,1.07405976503532,0.227122680948123,0.335898887657199,0.013109468214825,0.000180542450711,-0.335718345206487,98.0712159952888,5.74342066665517
13.027021,0.509942,0.51187,1.234446,0.752086,13.027021,0.824562,0.825001,1.461374,1.036979,1.28099914045131,1.07656354676612,0.34929939912009,0.458321074844383,0.028838161155414,7.93119786677315E-08,-0.458320995532404,95.1867660303918,9.10066121524959
