#       Ef[,Ry] T [K],         N,     DOS(Ef),       S,     s/t,       R_H,  kappa0, c,   chi
-0.16358,1200,6.84436913,167.03394,2.26112E-05,9.71934E+20,3.55941E-09,2.95774E+16,15.948277,2.49367E-09
-0.16308,300,6.77949032,192.38184,3.78459E-06,9.61492E+20,4.17582E-09,6.92785E+15,4.3699148,2.8721E-09
-0.16308,600,6.7821237,177.9679,8.3181E-06,9.54143E+20,4.14003E-09,1.41274E+16,8.10513,2.65691E-09
-0.16308,900,6.78548602,170.59909,1.5667E-05,9.58614E+20,3.93832E-09,2.19145E+16,12.087737,2.5469E-09
-0.16308,1200,6.80265682,166.66046,2.26795E-05,9.67406E+20,3.64116E-09,2.93928E+16,15.865163,2.4881E-09
-0.16258,300,6.73172636,189.66361,4.14282E-06,9.58737E+20,4.25695E-09,6.92495E+15,4.4802391,2.83152E-09
-0.16258,600,6.73762697,177.98113,8.48467E-06,9.51728E+20,4.21493E-09,1.40426E+16,8.0894122,2.65711E-09
-0.16258,900,6.74285107,170.47048,1.57079E-05,9.55022E+20,4.01907E-09,2.17568E+16,11.991245,2.54498E-09
-0.16258,1200,6.76104102,166.26151,2.2758E-05,9.62936E+20,3.72257E-09,2.92069E+16,15.784554,2.48214E-09
-0.16208,300,6.6846788,186.70125,4.42205E-06,9.55771E+20,4.3394E-09,6.92135E+15,4.5859524,2.78729E-09
-0.16208,600,6.69314491,177.85307,8.66823E-06,9.49244E+20,4.2901E-09,1.39616E+16,8.0790434,2.65519E-09
-0.16208,900,6.70025587,170.28073,1.57679E-05,9.51461E+20,4.09945E-09,2.1601E+16,11.90018,2.54215E-09
-0.16208,1200,6.71952835,165.83512,2.2847E-05,9.58516E+20,3.80363E-09,2.902E+16,15.70685,2.47578E-09
-0.16158,300,6.6383721,183.7806,4.62543E-06,9.52724E+20,4.42195E-09,6.91543E+15,4.6765061,2.74369E-09
-0.16158,600,6.64871091,177.59936,8.86542E-06,9.46685E+20,4.36561E-09,1.38839E+16,8.0719123,2.65141E-09
-0.16158,900,6.65771592,170.02833,1.5846E-05,9.47923E+20,4.17953E-09,2.14475E+16,11.814449,2.53838E-09
-0.16158,1200,6.67812589,165.37957,2.29467E-05,9.54141E+20,3.88435E-09,2.88324E+16,15.632408,2.46898E-09
-0.16108,300,6.5927656,181.13218,4.76524E-06,9.49699E+20,4.5035E-09,6.906E+15,4.7442877,2.70415E-09
-0.16108,600,6.60435435,177.2362,9.07331E-06,9.44046E+20,4.4415E-09,1.38093E+16,8.0659401,2.64598E-09
-0.16108,900,6.61524701,169.71233,1.59413E-05,9.44399E+20,4.25934E-09,2.12962E+16,11.733901,2.53366E-09
-0.16108,1200,6.63684112,164.89335,2.30571E-05,9.49806E+20,3.96473E-09,2.86442E+16,15.561541,2.46172E-09
-0.16058,300,6.54777026,178.91001,4.86032E-06,9.46763E+20,4.58324E-09,6.89244E+15,4.7853925,2.67097E-09
-0.16058,600,6.56010062,176.77925,9.28942E-06,9.41327E+20,4.51782E-09,1.37374E+16,8.0592048,2.63916E-09
-0.16058,900,6.5728651,169.33224,1.60527E-05,9.40879E+20,4.33893E-09,2.11473E+16,11.658351,2.52799E-09
-0.16058,1200,6.59568188,164.37518,2.31785E-05,9.45505E+20,4.04479E-09,2.84557E+16,15.494523,2.45398E-09
-0.16008,300,6.50326884,177.18643,4.93252E-06,9.43938E+20,4.6608E-09,6.87466E+15,4.7995974,2.64524E-09
