Energy,T,N,DOS,S,sigma,RH,kappa,c,chi
-0.02208,1200,0.0314802,10.064912,7.48973E-05,7.64892E+19,5.36801E-07,2.37412E+15,2.2029527,1.50261E-10
-0.02158,1200,0.02901821,9.6331597,7.61193E-05,7.52351E+19,5.50483E-07,2.3422E+15,2.1647963,1.43815E-10
-0.02108,1200,0.02666256,9.2141604,7.73673E-05,7.39814E+19,5.64645E-07,2.31065E+15,2.1266442,1.3756E-10
-0.02058,1200,0.02441007,8.8078992,7.86418E-05,7.27284E+19,5.79309E-07,2.27948E+15,2.0885154,1.31494E-10
-0.02008,1200,0.02225755,8.4143468,7.99431E-05,7.14761E+19,5.94498E-07,2.24869E+15,2.0504287,1.25619E-10
-0.01958,1200,0.02020184,8.033459,8.12716E-05,7.02248E+19,6.10238E-07,2.21828E+15,2.0124033,1.19933E-10
-0.01908,1200,0.01823977,7.6651768,8.26275E-05,6.89747E+19,6.26555E-07,2.18826E+15,1.9744587,1.14435E-10
-0.01858,1200,0.01636821,7.3094249,8.40113E-05,6.77259E+19,6.43477E-07,2.15863E+15,1.9366154,1.09123E-10
-0.01808,1200,0.01458402,6.9661122,8.54231E-05,6.64787E+19,6.61034E-07,2.1294E+15,1.8988943,1.03998E-10
-0.01758,1200,0.01288412,6.6351312,8.68632E-05,6.52334E+19,6.79256E-07,2.10056E+15,1.8613176,9.90568E-11
-0.01708,1200,0.01126544,6.3163577,8.83318E-05,6.39902E+19,6.98179E-07,2.07212E+15,1.8239087,9.42978E-11
-0.01658,1200,0.00972494,6.0096509,8.98292E-05,6.27494E+19,7.17836E-07,2.04407E+15,1.7866923,8.97189E-11
-0.01608,1200,0.00825962,5.7148535,9.13554E-05,6.15115E+19,7.38265E-07,2.01642E+15,1.7496942,8.53179E-11
-0.01558,1200,0.00686654,5.4317922,9.29106E-05,6.02766E+19,7.59505E-07,1.98917E+15,1.7129418,8.1092E-11
-0.01508,1200,0.00554276,5.1602782,9.44949E-05,5.90453E+19,7.81599E-07,1.96231E+15,1.676464,7.70385E-11
-0.01458,1200,0.00428545,4.9001078,9.61083E-05,5.78178E+19,8.0459E-07,1.93584E+15,1.6402906,7.31544E-11
-0.01408,1200,0.00309178,4.6510634,9.77508E-05,5.65946E+19,8.28526E-07,1.90976E+15,1.604453,6.94364E-11
-0.01358,1200,0.00195901,4.4129144,9.94225E-05,5.53762E+19,8.53457E-07,1.88406E+15,1.5689836,6.5881E-11
-0.01308,1200,0.00088444,4.1854188,0.000101123,5.41631E+19,8.79434E-07,1.85873E+15,1.5339156,6.24847E-11
-0.01258,1200,-0.00013457,3.9683237,0.000102853,5.29556E+19,9.06513E-07,1.83378E+15,1.4992831,5.92437E-11
-0.01208,1200,-0.00110057,3.7613674,0.000104612,5.17544E+19,9.34755E-07,1.80918E+15,1.4651209,5.6154E-11
-0.01158,1200,-0.00201607,3.5642804,0.000106399,5.05599E+19,9.6422E-07,1.78493E+15,1.4314638,5.32117E-11
-0.01108,1200,-0.00288351,3.376787,0.000108215,4.93726E+19,9.94976E-07,1.76103E+15,1.3983472,5.04125E-11
-0.01058,1200,-0.00370524,3.1986069,0.000110059,4.81932E+19,1.02709E-06,1.73747E+15,1.3658061,4.77525E-11
-0.01008,1200,-0.00448356,3.0294565,0.000111931,4.70222E+19,1.06064E-06,1.71422E+15,1.3338754,4.52272E-11
-0.00958,1200,-0.0052207,2.8690502,0.000113831,4.58601E+19,1.09571E-06,1.69129E+15,1.3025896,4.28325E-11
-0.00908,1200,-0.00591879,2.7171022,0.000115759,4.47076E+19,1.13237E-06,1.66866E+15,1.2719825,4.0564E-11
-0.00858,1200,-0.00657993,2.5733276,0.000117714,4.35651E+19,1.17072E-06,1.64633E+15,1.242087,3.84176E-11
-0.00808,1200,-0.00720611,2.4374438,0.000119696,4.24334E+19,1.21084E-06,1.62427E+15,1.212935,3.63889E-11
-0.00758,1200,-0.00779929,2.3091714,0.000121704,4.13128E+19,1.25284E-06,1.60249E+15,1.1845574,3.44739E-11
-0.00708,1200,-0.00836131,2.1882357,0.000123739,4.02041E+19,1.29683E-06,1.58097E+15,1.1569837,3.26685E-11
-0.00658,1200,-0.00889399,2.0743677,0.000125799,3.91077E+19,1.3429E-06,1.5597E+15,1.1302422,3.09685E-11
-0.00608,1200,-0.00939906,1.9673048,0.000127885,3.80242E+19,1.39119E-06,1.53867E+15,1.1043596,2.93702E-11
